City,Region,TargetCommuteMinutes,Population,PopulationGrowth,SeniorPopulationPercent,MedianHouseholdIncome,SafeArea2BRRent,DentistDensity,CompetitionScore,ImplantDemandScore,ProcedureFreedomScore,TechnologyScore,ProductionOpportunityScore,AdvancedGPIncomePotential,AdvancedGPOpportunityScore
Naples,Southwest Florida,30,197000,3.0,55.8,153182,2900,,7,10,8,8,9,10,
Boca Raton,South Florida,30,100000,1.5,24.6,106273,3000,,8,9,7,9,8,9,
Fort Myers,Southwest Florida,30,96000,2.5,23.2,63732,2300,,5,8,8,7,8,8,
Melbourne,Space Coast,30,87500,1.8,22.5,66991,2100,,4,7,8,6,8,8,
Orlando,Central Florida,30,320000,2.0,10.5,71000,2300,,8,6,7,8,8,8,
Tampa,Tampa Bay,30,405000,1.7,13.5,75000,2500,,8,7,7,8,8,8,
Jacksonville,Northeast Florida,30,985000,1.5,14.5,70000,2100,,6,6,8,7,8,8,
Gainesville,North Central Florida,30,146000,1.2,11.0,52000,1800,,4,5,7,6,6,6,
Port St. Lucie,Treasure Coast,30,240000,3.2,22.0,78000,2300,,5,8,8,7,8,8,
West Palm Beach,South Florida,30,125000,1.6,18.0,72000,2800,,8,8,7,8,8,8,
Sarasota,Southwest Florida,30,58000,2.1,28.0,78000,2600,,7,9,8,8,9,9,
Lakeland,Central Florida,30,125000,2.3,18.0,65000,1900,,4,6,8,6,7,7,
Clearwater,Tampa Bay,30,117000,1.0,24.0,66000,2300,,6,8,7,7,8,8,
St. Petersburg,Tampa Bay,30,265000,1.2,18.5,76000,2500,,7,7,7,8,8,8,
Fort Lauderdale,South Florida,30,184000,1.1,17.0,74000,2900,,8,8,7,9,8,8,
Miami,South Florida,30,455000,0.8,16.0,65000,3100,,10,7,6,9,7,8,
